FECHA;EMISOR;VALOR;VALOR NOMINAL;PRECIO;NUMERO ACCIONES;VALOR EFECTIVO;PROCEDENCIA
2021-01-04;HOMEFOREST EL REFUGIO FORESTAL S A;ACCIONES;1,00;25,68;550,00;14124,00;G
2021-01-04;CERRO VERDE FORESTAL S A BIGFOREST;ACCIONES;1,00;31,91;1100,00;35101,00;G
2021-01-04;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,41;1999,00;4817,59;Q
2021-01-04;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;4081,00;9794,40;G
2021-01-04;EL TECAL;ACCIONES;1,00;35,00;550,00;19250,00;G
2021-01-05;BANCO GUAYAQUIL S.A.;ACCIONES;1,00;1,00;602,00;602,00;Q
2021-01-05;CERRO ALTO HIGHFOREST S A;ACCIONES;1,00;15,05;100,00;1505,00;G
2021-01-05;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,41;454,00;1094,14;G
2021-01-05;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;1938,00;4651,20;G
2021-01-05;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;247,00;592,80;Q
2021-01-05;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;1000,00;2400,00;Q
2021-01-05;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;10264,00;24633,60;Q
2021-01-05;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1,00;0,70;7065,00;4945,50;Q
2021-01-05;SIEMPREVERDE SA;ACCIONES;1,00;1,70;59472,00;101102,40;G
2021-01-05;SIEMPREVERDE SA;ACCIONES;1,00;1,70;75608,00;128533,60;G
2021-01-05;SIEMPREVERDE SA;ACCIONES;1,00;1,70;2910,00;4947,00;G
2021-01-05;SIEMPREVERDE SA;ACCIONES;1,00;1,70;2910,00;4947,00;G
2021-01-05;CERVECERIA NACIONAL CN S A;ACCIONES;1,00;84,00;56,00;4704,00;G
2021-01-06;CERVECERIA NACIONAL CN S A;ACCIONES;1,00;83,80;486,00;40726,80;Q
2021-01-06;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;350,00;840,00;Q
2021-01-06;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;300,00;720,00;Q
2021-01-06;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;10000,00;24000,00;G
2021-01-06;BANCO GUAYAQUIL S.A.;ACCIONES;1,00;0,88;7500,00;6600,00;Q
2021-01-07;BANCO GUAYAQUIL S.A.;ACCIONES;1,00;0,89;7945,00;7071,05;Q
2021-01-07;BANCO GUAYAQUIL S.A.;ACCIONES;1,00;0,87;1447,00;1258,89;G
2021-01-07;ALICOSTA BK HOLDING S A;ACCIONES;1,00;10,00;75,00;750,00;G
2021-01-07;ALICOSTA BK HOLDING S A;ACCIONES;1,00;10,00;75,00;750,00;G
2021-01-07;ALICOSTA BK HOLDING S A;ACCIONES;1,00;10,00;50,00;500,00;G
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;4818,00;11563,20;G
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;2429,00;5829,60;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;7455,00;17892,00;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;45,00;108,00;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;2000,00;4800,00;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;2000,00;4800,00;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;24049,00;57717,60;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,41;415,00;1000,15;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;1000,00;2400,00;Q
2021-01-07;CORPORACION FAVORITA C.A.;ACCIONES;1,00;2,40;13903,00;33367,20;Q
2021-01-07;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1,00;0,70;4214,00;2949,80;G
2021-01-07;CERVECERIA NACIONAL CN S A;ACCIONES;1,00;84,00;24,00;2016,00;Q
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
2021-01-07;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100,00;100,00;1,00;100,00;G
